meet,event,bracket,gender,dref,diver,club,round,dive_code,position,M,DD,j1,j2,j3,total
meet6,33,D2,M,1114,Joaquin Bayarri,City of Sheffield Diving Club,10,200,C,0,1.0,5.5,7.0,6.5,19.0
meet6,33,D2,M,1114,Joaquin Bayarri,City of Sheffield Diving Club,11,101,C,0,1.0,4.0,5.0,4.0,13.0
meet6,33,D2,M,1114,Joaquin Bayarri,City of Sheffield Diving Club,12,100,B,0,1.0,5.0,5.0,5.0,15.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,1,101,A,0,1.0,4.0,4.0,4.5,12.5
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,2,200,C,0,1.0,5.5,5.0,6.5,17.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,3,101,C,0,1.0,5.5,4.5,4.5,14.5
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,4,100,B,0,1.0,5.5,5.5,6.0,17.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,5,100,A,1,1.0,7.0,5.5,6.5,19.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,6,200,A,1,1.0,7.0,6.5,6.5,20.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,7,103,C,1,1.6,4.5,5.0,4.5,14.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,8,201,C,1,1.5,5.0,4.5,5.0,14.5
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,9,10,A,3,1.2,5.5,6.5,6.0,18.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,10,11,C,3,1.2,4.5,6.0,4.5,15.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,11,20,A,3,1.4,5.0,4.5,5.5,15.0
meet6,33,D2,M,979,Sebastian Zanella,Cambridge Dive Team,12,21,C,3,1.3,6.5,6.5,7.0,20.0
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,1,10,A,3,1.2,7.0,8.0,8.0,23.0
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,2,11,C,3,1.2,5.0,5.5,5.5,16.0
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,3,20,A,3,1.4,3.5,5.0,4.0,12.5
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,4,21,C,3,1.3,4.5,4.5,3.5,12.5
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,5,101,A,0,1.0,4.0,3.5,3.0,10.5
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,6,200,C,0,1.0,6.5,6.0,7.5,20.0
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,7,101,C,0,1.0,5.0,6.0,5.0,16.0
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,8,100,B,0,1.0,5.5,6.0,6.0,17.5
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,9,100,A,1,1.0,7.5,7.5,7.0,22.0
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,10,200,A,1,1.0,7.5,6.5,8.5,22.5
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,11,103,C,1,1.6,4.5,4.5,5.0,14.0
meet6,33,D2,M,1179,Austin Low,Aberdeen Diving Club,12,301,C,1,1.6,4.0,4.0,3.5,11.5
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,1,101,A,0,1.0,4.0,4.0,4.5,12.5
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,2,200,C,0,1.0,7.5,6.0,7.0,20.5
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,3,101,C,0,1.0,4.0,4.0,4.0,12.0
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,4,100,B,0,1.0,7.5,7.0,7.5,22.0
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,5,100,A,1,1.0,6.0,5.5,6.5,18.0
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,6,200,A,1,1.0,7.5,7.0,7.5,22.0
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,7,103,C,1,1.6,4.5,5.0,4.5,14.0
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,8,201,B,1,1.6,3.0,3.0,2.5,8.5
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,9,10,A,3,1.2,7.5,7.0,7.5,22.0
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,10,11,C,3,1.2,3.5,4.5,3.5,11.5
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,11,20,A,3,1.4,5.5,5.5,5.5,16.5
meet6,33,D2,M,881,Edward Slade,Luton Diving Club,12,21,C,3,1.3,6.0,5.5,5.5,17.0
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,1,10,A,3,1.2,7.0,6.5,7.0,20.5
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,2,11,C,3,1.2,5.5,6.5,6.0,18.0
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,3,20,A,3,1.4,5.5,6.0,5.5,17.0
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,4,21,C,3,1.3,4.5,6.5,5.5,16.5
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,5,101,A,0,1.0,5.5,5.5,5.5,16.5
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,6,200,C,0,1.0,5.0,6.5,7.0,18.5
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,7,101,C,0,1.0,5.0,5.0,4.5,14.5
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,8,100,B,0,1.0,5.5,5.5,4.5,15.5
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,9,100,A,1,1.0,6.0,6.5,6.5,19.0
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,10,200,A,1,1.0,1.0,1.5,1.0,3.5
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,11,401,B,1,1.5,5.5,5.5,5.0,16.0
meet6,33,D2,M,1115,Arthur Oxley,Harrogate District Diving Club,12,201,C,1,1.5,4.0,3.5,4.0,11.5
